pressao_kpa,desvio_pressao,label
122.92,22.92,Alerta
122.92,22.92,Alerta
122.92,22.92,Alerta
122.92,22.92,Alerta
122.92,22.92,Alerta
122.92,22.92,Alerta
122.92,22.92,Alerta
122.92,22.92,Alerta
121.06,21.06,Alerta
116.67,16.67,Alerta
116.28,16.28,Alerta
113.35,13.35,Alerta
112.95,12.95,Alerta
112.95,12.95,Alerta
112.95,12.95,Alerta
112.95,12.95,Alerta
112.95,12.95,Alerta
112.95,12.95,Alerta
112.95,12.95,Alerta
112.95,12.95,Alerta
112.95,12.95,Alerta
112.95,12.95,Alerta
112.95,12.95,Alerta
112.95,12.95,Alerta
112.95,12.95,Alerta
112.95,12.95,Alerta
112.95,12.95,Alerta
112.95,12.95,Alerta
112.95,12.95,Alerta
112.95,12.95,Alerta
112.95,12.95,Alerta
102.60,2.60,Seguro
102.60,2.60,Seguro
150.00,50.00,Critico
108.56,8.56,Seguro
101.53,1.53,Seguro
101.53,1.53,Seguro
101.53,1.53,Seguro
101.53,1.53,Seguro
110.42,10.42,Alerta
103.68,3.68,Seguro
102.60,2.60,Seguro
102.60,2.60,Seguro
102.60,2.60,Seguro
102.60,2.60,Seguro
102.60,2.60,Seguro
102.60,2.60,Seguro
102.60,2.60,Seguro
102.60,2.60,Seguro
102.60,2.60,Seguro
102.60,2.60,Seguro
102.60,2.60,Seguro
102.60,2.60,Seguro
102.60,2.60,Seguro
102.60,2.60,Seguro
102.60,2.60,Seguro
102.60,2.60,Seguro
102.60,2.60,Seguro
102.60,2.60,Seguro
102.60,2.60,Seguro
102.60,2.60,Seguro
102.60,2.60,Seguro
102.60,2.60,Seguro
102.60,2.60,Seguro
90.00,10.00,Seguro
90.20,9.80,Seguro
90.50,9.50,Seguro
91.00,9.00,Seguro
92.00,8.00,Seguro
93.50,6.50,Seguro
95.00,5.00,Seguro
98.00,2.00,Seguro
100.00,0.00,Seguro
102.00,2.00,Seguro
105.00,5.00,Seguro
108.00,8.00,Seguro
109.50,9.50,Seguro
109.80,9.80,Seguro
110.00,10.00,Seguro
89.50,10.50,Alerta
89.00,11.00,Alerta
88.50,11.50,Alerta
87.00,13.00,Alerta
85.00,15.00,Alerta
82.00,18.00,Alerta
78.00,22.00,Alerta
75.50,24.50,Alerta
111.00,11.00,Alerta
111.50,11.50,Alerta
112.00,12.00,Alerta
115.00,15.00,Alerta
118.00,18.00,Alerta
122.00,22.00,Alerta
124.50,24.50,Alerta
125.00,25.00,Alerta
90.00,10.00,Seguro
90.10,9.90,Seguro
90.20,9.80,Seguro
90.50,9.50,Seguro
91.00,9.00,Seguro
92.00,8.00,Seguro
94.00,6.00,Seguro
96.00,4.00,Seguro
98.00,2.00,Seguro
100.00,0.00,Seguro
102.00,2.00,Seguro
104.00,4.00,Seguro
106.00,6.00,Seguro
108.00,8.00,Seguro
109.00,9.00,Seguro
109.50,9.50,Seguro
109.80,9.80,Seguro
110.00,10.00,Seguro
89.90,10.10,Alerta
89.50,10.50,Alerta
89.00,11.00,Alerta
88.00,12.00,Alerta
86.00,14.00,Alerta
84.00,16.00,Alerta
82.00,18.00,Alerta
80.00,20.00,Alerta
78.00,22.00,Alerta
76.00,24.00,Alerta
75.50,24.50,Alerta
75.00,25.00,Alerta
110.10,10.10,Alerta
111.00,11.00,Alerta
111.50,11.50,Alerta
112.00,12.00,Alerta
114.00,14.00,Alerta
116.00,16.00,Alerta
118.00,18.00,Alerta
120.00,20.00,Alerta
122.00,22.00,Alerta
124.00,24.00,Alerta
124.50,24.50,Alerta
125.00,25.00,Alerta
74.90,25.10,Critico
74.50,25.50,Critico
74.00,26.00,Critico
72.00,28.00,Critico
70.00,30.00,Critico
65.00,35.00,Critico
60.00,40.00,Critico
55.00,45.00,Critico
50.00,50.00,Critico
125.10,25.10,Critico
125.50,25.50,Critico
126.00,26.00,Critico
128.00,28.00,Critico
130.00,30.00,Critico
135.00,35.00,Critico
140.00,40.00,Critico
145.00,45.00,Critico
150.00,50.00,Critico
